===== Starting symbols: ===
"(" 5.681818181818182e-3 
"``" 9.659090909090909e-2 
"abn" 5.681818181818182e-3 
"ap" 1.1363636363636364e-2
"at" 0.26136363636363635 
"at-hl" 5.681818181818182e-3 
"cc" 1.1363636363636364e-2
"cd" 2.2727272727272728e-2
"cs" 1.1363636363636364e-2
"dt" 1.1363636363636364e-2
"dts" 5.681818181818182e-3 
"ex" 5.681818181818182e-3 
"in" 6.25e-2 
"jj" 5.681818181818182e-3 
"nn" 2.8409090909090908e-2
"nn-hl" 1.1363636363636364e-2
"nn-tl" 8.522727272727272e-2 
"nns" 1.7045454545454544e-2
"nns-hl" 5.681818181818182e-3 
"np" 0.11363636363636363 
"np$" 5.681818181818182e-3 
"np-hl" 4.5454545454545456e-2
"pp$" 1.7045454545454544e-2
"pps" 8.522727272727272e-2 
"ppss" 1.1363636363636364e-2
"ppss+bem" 5.681818181818182e-3 
"rb" 1.1363636363636364e-2
"vb-hl" 5.681818181818182e-3 
"vbg" 5.681818181818182e-3 
"vbz-hl" 5.681818181818182e-3 
"wrb" 1.7045454545454544e-2

===== Final symbols: ======
"''" 0.13068181818181818 
"ap" 5.681818181818182e-3 
"cd" 5.6818181818181816e-2
"jj" 5.681818181818182e-3 
"nn" 0.30113636363636365 
"nn-tl" 6.25e-2 
"nns" 0.16477272727272727 
"nns-tl" 5.681818181818182e-3 
"np" 8.522727272727272e-2 
"np-tl" 5.681818181818182e-3 
"nr" 2.8409090909090908e-2
"ppo" 5.681818181818182e-3 
"rb" 2.2727272727272728e-2
"rbr" 5.681818181818182e-3 
"vb" 1.1363636363636364e-2
"vbd" 5.113636363636364e-2 
"vbg" 5.681818181818182e-3 
"vbn" 3.977272727272727e-2 
"wrb" 5.681818181818182e-3 

===== Transitions: ========
"rp" "rb" 7.692307692307693e-2 
"to" "``" 2.666666666666667e-2 
"to" "be" 4.0e-2 
"to" "do" 1.3333333333333334e-2
"to" "hv" 4.0e-2 
"to" "rb" 1.3333333333333334e-2
"to" "vb" 0.8666666666666667 
"vb" "''" 6.993006993006993e-3 
"vb" "," 1.3986013986013986e-2
"vb" "``" 2.097902097902098e-2 
"vb" "ap" 1.3986013986013986e-2
"vb" "at" 0.2867132867132867 
"vb" "be" 6.993006993006993e-3 
"vb" "bez" 6.993006993006993e-3 
"vb" "cc" 6.993006993006993e-3 
"vb" "cd" 1.3986013986013986e-2
"vb" "cs" 2.097902097902098e-2 
"vb" "dt" 1.3986013986013986e-2
"vb" "dti" 1.3986013986013986e-2
"vb" "dts" 6.993006993006993e-3 
"vb" "in" 0.1258741258741259 
"vb" "jj" 6.993006993006994e-2 
"vb" "jjr" 6.993006993006993e-3 
"vb" "nn" 3.496503496503497e-2 
"vb" "nn-tl" 6.993006993006993e-3 
"vb" "nns" 9.090909090909091e-2 
"vb" "np" 6.993006993006993e-3 
"vb" "np$" 6.993006993006993e-3 
"vb" "nr" 6.993006993006993e-3 

"vb" "pp$" 2.097902097902098e-2 
"vb" "ppo" 3.496503496503497e-2 
"vb" "pps" 6.993006993006993e-3 
"vb" "rb" 2.7972027972027972e-2
"vb" "rbt" 6.993006993006993e-3 
"vb" "rp" 2.7972027972027972e-2
"vb" "to" 4.195804195804196e-2 
"vb" "vb" 6.993006993006993e-3 
"vb" "vbg" 2.097902097902098e-2 
"vb" "vbn" 6.993006993006993e-3 
"vb" "wdt" 6.993006993006993e-3 
"vb-hl" "nn-hl" 1.0 
"vbd" "''" 8.130081300813009e-3 
"vbd" "," 6.504065040650407e-2 
"vbd" "``" 3.2520325203252036e-2
"vbd" "ap" 8.130081300813009e-3 
"vbd" "at" 0.16260162601626016 
"vbd" "at-tl" 8.130081300813009e-3 
"vbd" "cd" 2.4390243902439025e-2
"vbd" "cs" 0.13821138211382114 
"vbd" "dt" 8.130081300813009e-3 
"vbd" "ex" 2.4390243902439025e-2
"vbd" "in" 0.10569105691056911 
"vbd" "jj" 4.878048780487805e-2 
"vbd" "md" 1.6260162601626018e-2
"vbd" "nn" 2.4390243902439025e-2
"vbd" "nns" 1.6260162601626018e-2
"vbd" "np" 4.878048780487805e-2 
"vbd" "nr" 5.6910569105691054e-2
"vbd" "pp$" 4.065040650406504e-2 
"vbd" "ppl" 1.6260162601626018e-2
"vbd" "ppo" 1.6260162601626018e-2
"vbd" "pps" 5.6910569105691054e-2
"vbd" "ppss" 8.130081300813009e-3 
"vbd" "ql" 8.130081300813009e-3 
"vbd" "rb" 3.2520325203252036e-2
"vbd" "rp" 8.130081300813009e-3 
"vbd" "to" 8.130081300813009e-3 
"vbd" "vbn" 8.130081300813009e-3 
"vbg" "," 1.7543859649122806e-2
"vbg" "``" 1.7543859649122806e-2
"vbg" "ap" 1.7543859649122806e-2
"vbg" "at" 0.24561403508771928 
"vbg" "cc" 1.7543859649122806e-2
"vbg" "cs" 5.263157894736842e-2 
"vbg" "in" 0.15789473684210525 
"vbg" "jj" 1.7543859649122806e-2
"vbg" "jjr" 1.7543859649122806e-2
"vbg" "nn" 0.22807017543859648 
"vbg" "nns" 0.12280701754385964 
"vbg" "ppl" 1.7543859649122806e-2
"vbg" "ppo" 5.263157894736842e-2 
"vbg" "rp" 1.7543859649122806e-2
"vbg-hl" "nn-hl" 1.0 
"vbg-tl" "nn-tl" 1.0 
"vbn" "''" 3.636363636363636e-2 
"vbn" "," 1.818181818181818e-2 
"vbn" ":" 9.09090909090909e-3 
"vbn" "at" 2.727272727272727e-2 
"vbn" "cc" 3.636363636363636e-2 
"vbn" "cs" 5.454545454545454e-2 
"vbn" "dts" 9.09090909090909e-3 
"vbn" "in" 0.33636363636363636 
"vbn" "jj" 3.636363636363636e-2 
"vbn" "nn" 5.454545454545454e-2 
"vbn" "nn-tl" 3.636363636363636e-2 
"vbn" "nns" 5.454545454545454e-2 
"vbn" "np" 2.727272727272727e-2 
"vbn" "nr" 1.818181818181818e-2 
"vbn" "rb" 6.363636363636363e-2 
"vbn" "rbr" 1.818181818181818e-2 
"vbn" "rp" 3.636363636363636e-2 
"vbn" "to" 0.10909090909090909 
"vbn" "vbg" 1.818181818181818e-2 
"vbn-hl" "at" 0.5 
"vbn-hl" "wrb" 0.5 
"vbz" "," 5.555555555555555e-2 
"vbz" "``" 5.555555555555555e-2 
"vbz" "at" 0.16666666666666666 
"vbz" "cs" 0.1111111111111111 
"vbz" "in" 0.1111111111111111 
"vbz" "jj" 5.555555555555555e-2 
"vbz" "nn" 0.1111111111111111 
"vbz" "np" 5.555555555555555e-2 
"vbz" "np$" 5.555555555555555e-2 
"vbz" "pn" 5.555555555555555e-2 
"vbz" "rb" 5.555555555555555e-2 
"vbz" "to" 0.1111111111111111 
"vbz-hl" "in-hl" 1.0 
"wdt" "at" 0.15384615384615385 
"wdt" "bedz" 3.8461538461538464e-2
"wdt" "hv" 3.8461538461538464e-2
"wdt" "hvd" 3.8461538461538464e-2
"wdt" "hvz" 7.692307692307693e-2 
"wdt" "jj" 3.8461538461538464e-2
"wdt" "md" 0.11538461538461539 
"wdt" "nn" 7.692307692307693e-2 
"wdt" "nns" 3.8461538461538464e-2
"wdt" "np" 0.11538461538461539 
"wdt" "pps" 7.692307692307693e-2 
"wdt" "rb" 3.8461538461538464e-2
"wdt" "vb" 3.8461538461538464e-2
"wdt" "vbd" 3.8461538461538464e-2
"wdt" "vbz" 7.692307692307693e-2 
"wps" "bedz" 7.142857142857142e-2 
"wps" "bez" 7.142857142857142e-2 
"wps" "hvz" 0.14285714285714285 
"wps" "md" 0.2857142857142857 
"wps" "vb" 0.14285714285714285 
"wps" "vbd" 0.21428571428571427 
"wps" "vbz" 7.142857142857142e-2 
"wrb" "," 0.16666666666666666 
"wrb" "at" 0.5 
"wrb" "dti" 8.333333333333333e-2 
"wrb" "np" 8.333333333333333e-2 
"wrb" "pps" 0.16666666666666666  
